"Promedio_Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas,Calificacion_Final,Resultado"
"72,74,1,7,1,40,Reprueba"
"80,88,6,45,7,76,Aprueba"
"95,100,8,50,7,83,Aprueba"
"89,91,6,22,8,70,Aprueba"
"64,68,2,20,6,41,Reprueba"
"83,84,10,33,9,75,Aprueba"
"56,60,5,13,3,40,Reprueba"
"56,82,0,23,2,40,Reprueba"
"50,69,3,2,6,40,Reprueba"
"78,84,9,40,9,80,Aprueba"
"70,83,5,9,4,43,Reprueba"
"89,97,7,32,10,78,Aprueba"
"92,83,6,39,7,78,Aprueba"
"76,98,4,50,8,77,Aprueba"
"61,63,3,14,4,40,Reprueba"
"59,83,4,2,1,40,Reprueba"
"95,98,9,46,10,91,Aprueba"
"50,70,2,12,0,40,Reprueba"
"52,65,2,6,1,40,Reprueba"
"74,81,0,24,6,46,Reprueba"
"96,92,10,36,9,82,Aprueba"
"51,68,1,23,0,40,Reprueba"
"52,78,4,24,1,40,Reprueba"
"91,98,7,42,9,85,Aprueba"
"96,98,10,48,10,95,Aprueba"
"77,86,8,32,8,70,Aprueba"
"90,94,7,35,9,81,Aprueba"
"87,91,4,46,8,80,Aprueba"
"50,85,5,12,4,40,Reprueba"
"69,64,3,1,1,40,Reprueba"
"75,96,6,40,7,74,Aprueba"
"62,68,2,24,0,40,Reprueba"
"87,81,5,22,8,71,Aprueba"
"75,90,8,33,9,75,Aprueba"
"75,88,7,28,8,70,Aprueba"
"89,90,8,36,8,72,Aprueba"
"91,92,6,33,8,80,Aprueba"
"85,88,7,46,8,78,Aprueba"
"56,71,4,14,1,40,Reprueba"
"50,81,4,25,5,40,Reprueba"
"90,98,10,34,7,83,Aprueba"
"63,62,0,22,3,40,Reprueba"
"96,85,4,38,8,75,Aprueba"
"79,93,10,37,9,77,Aprueba"
"80,84,5,41,8,77,Aprueba"
"58,83,5,22,2,40,Reprueba"
"94,91,7,23,7,70,Aprueba"
"79,97,5,36,7,70,Aprueba"
"53,82,1,21,3,40,Reprueba"
"69,70,2,8,2,40,Reprueba"
"77,99,10,27,7,74,Aprueba"
"95,89,8,44,8,82,Aprueba"
"70,84,3,1,3,40,Reprueba"
"52,80,0,15,4,40,Reprueba"
"65,60,5,13,1,40,Reprueba"
"96,96,8,37,10,87,Aprueba"
"81,87,8,44,7,76,Aprueba"
"67,66,1,2,1,40,Reprueba"
"72,71,1,15,3,40,Reprueba"
"50,79,1,13,0,40,Reprueba"
"72,76,5,13,5,51,Reprueba"
"56,75,5,20,3,40,Reprueba"
"82,93,4,26,9,71,Aprueba"
"83,81,4,20,8,70,Aprueba"
"96,95,8,46,10,91,Aprueba"
"91,82,4,49,8,78,Aprueba"
"50,74,0,23,4,40,Reprueba"
"94,86,10,27,10,83,Aprueba"
"92,81,5,26,9,72,Aprueba"
"82,81,8,47,8,75,Aprueba"
"60,84,3,13,1,40,Reprueba"
"97,88,8,31,8,79,Aprueba"
"52,68,1,23,6,40,Reprueba"
"56,74,1,5,1,40,Reprueba"
"52,71,3,3,4,40,Reprueba"
"85,84,7,33,7,74,Aprueba"
"57,71,2,25,4,40,Reprueba"
"74,85,3,18,3,48,Reprueba"
"65,79,1,7,3,40,Reprueba"
"80,80,6,32,7,70,Aprueba"
"52,69,4,18,1,40,Reprueba"
"78,87,7,26,9,72,Aprueba"
"83,93,5,21,7,70,Aprueba"
"77,85,7,32,9,75,Aprueba"
"68,66,2,2,3,40,Reprueba"
"56,62,2,7,3,40,Reprueba"
"65,68,4,11,1,40,Reprueba"
"75,89,6,40,8,71,Aprueba"
"66,70,1,24,2,40,Reprueba"
"68,64,0,15,0,40,Reprueba"
"56,67,5,20,3,40,Reprueba"
"84,92,9,31,7,78,Aprueba"
"87,95,5,41,8,78,Aprueba"
"65,81,3,12,2,40,Reprueba"
"67,70,1,13,0,40,Reprueba"
"62,63,1,20,1,40,Reprueba"
"74,68,0,8,0,40,Reprueba"
"89,85,8,20,8,75,Aprueba"
"54,75,1,0,6,40,Reprueba"
"89,80,7,30,9,76,Aprueba"
"51,80,0,20,4,40,Reprueba"
